Item,SRM,Value,Uncertainty,Uncertainty_Type,Unit,GeoReM_bibcode,Reference,M,g/g,g/g_err,mol/g,mol/g_err
CO2,NIST610,0.0002,,,%m/m,GeoReM 5211,Jochum et al 2011,44.0095,2E-06,,4.54447335234438E-08,
H2O,NIST610,0.013,,,%m/m,GeoReM 5211,Jochum et al 2011,18.01528,0.00013,,7.21609655803296E-06,
Na2O,NIST610,13.4,0.3,95%CL,%m/m,GeoReM 5211,Jochum et al 2011,61.97894,0.134,0.003,0.004324049,9.68071E-05
Al2O3,NIST610,1.95,0.04,95%CL,%m/m,GeoReM 5211,Jochum et al 2011,101.961276,0.0195,0.0004,0.000382498,7.84612E-06
SiO2,NIST610,69.7,0.5,95%CL,%m/m,GeoReM 5211,Jochum et al 2011,60.0843,0.697,0.005,0.011600368149417,8.32164142712822E-05
CaO,NIST610,11.4,0.2,95%CL,%m/m,GeoReM 5211,Jochum et al 2011,56.0774,0.114,0.002,0.002032904521251,3.56649916008945E-05
H,NIST610,15,,,ug/g,GeoReM 5211,Jochum et al 2011,1.00794,1.5E-05,,1.4881838204655E-05,
Li,NIST610,468,24,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,6.941,0.000468,2.4E-05,6.74254430197378E-05,3.45771502665322E-06
Be,NIST610,476,31,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,9.012182,0.000476,3.1E-05,5.28173976069281E-05,3.43978849961086E-06
B,NIST610,350,56,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,10.811,0.00035,5.6E-05,3.23744334474147E-05,5.17990935158635E-06
F,NIST610,304,,,ug/g,GeoReM 5211,Jochum et al 2011,18.9984032,0.000304,,1.60013447867029E-05,
Mg,NIST610,465.3,29,95%CL,ug/g,GeoReM 5211,Eggins-Sadekov-Spero in-house value,24.305,0.0004653,2.9E-05,1.91442090104917E-05,1.19317012960296E-06
P,NIST610,413,46,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,30.973761,0.000413,4.6E-05,1.33338666880009E-05,1.48512800883303E-06
S,NIST610,575,32,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,32.065,0.000575,3.2E-05,1.7932324964915E-05,9.97972867612662E-07
Cl,NIST610,274,67,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,35.453,0.000274,6.7E-05,7.72854201336981E-06,1.88982596677291E-06
K,NIST610,464,21,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,39.0983,0.000464,2.1E-05,1.18675236519235E-05,5.37107751487916E-07
Sc,NIST610,455,10,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,44.95591,0.000455,1E-05,1.01210274689134E-05,2.22440164151944E-07
Ti,NIST610,452,10,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,47.867,0.000452,1E-05,9.44283117805586E-06,2.08912194204776E-07
V,NIST610,450,9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,50.9415,0.00045,9E-06,8.83366214186862E-06,1.76673242837372E-07
Cr,NIST610,408,10,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,51.9961,0.000408,1E-05,7.84674235183024E-06,1.92322116466427E-07
Mn,NIST610,444,13,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,54.938049,0.000444,1.3E-05,8.08183049965972E-06,2.36630172287334E-07
Fe,NIST610,458,9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,55.845,0.000458,9E-06,8.20127137613036E-06,1.6116035455278E-07
Co,NIST610,410,10,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,58.9332,0.00041,1E-05,6.95702931454596E-06,1.69683641818194E-07
Ni,NIST610,458.7,4,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,58.6934,0.0004587,4E-06,7.81518876057615E-06,6.815076311817E-08
Cu,NIST610,441,15,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,63.546,0.000441,1.5E-05,6.9398545935228E-06,2.36049475970163E-07
Zn,NIST610,460,18,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,65.409,0.00046,1.8E-05,7.03267134492195E-06,2.75191487409989E-07
Ga,NIST610,433,13,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,69.723,0.000433,1.3E-05,6.21028928760954E-06,1.8645210332315E-07
Ge,NIST610,447,78,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,72.64,0.000447,7.8E-05,6.15363436123348E-06,1.07378854625551E-06
As,NIST610,325,18,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,74.9216,0.000325,1.8E-05,4.33786785119378E-06,2.40251142527656E-07
Se,NIST610,138,42,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,78.96,0.000138,4.2E-05,1.74772036474164E-06,5.31914893617021E-07
Br,NIST610,93,,,ug/g,GeoReM 5211,Jochum et al 2011,79.904,9.3E-05,,1.16389667601121E-06,
Rb,NIST610,425.7,1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,85.4678,0.0004257,1E-06,4.98082318721203E-06,1.1700312866366E-08
Sr,NIST610,515.5,1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,87.62,0.0005155,1E-06,5.88335996347866E-06,1.14129194247889E-08
Y,NIST610,462,11,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,88.90585,0.000462,1.1E-05,5.19650844123306E-06,1.2372639145793E-07
Zr,NIST610,448,9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,91.224,0.000448,9E-06,4.9109883364027E-06,9.86582478295185E-08
Nb,NIST610,465,34,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,92.90638,0.000465,3.4E-05,5.00503840532803E-06,3.65959797378824E-07
Mo,NIST610,417,21,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,95.94,0.000417,2.1E-05,4.34646654158849E-06,2.18886804252658E-07
Rh,NIST610,1.29,0.07,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,102.9055,1.29E-06,7E-08,1.25357731122243E-08,6.80235750275738E-10
Pd,NIST610,1.21,0.44,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,106.42,1.21E-06,4.4E-07,1.13700432249577E-08,4.1345611727119E-09
Ag,NIST610,251,9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,107.8682,0.000251,9E-06,2.32691377069424E-06,8.34351551244945E-08
Cd,NIST610,270,16,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,112.411,0.00027,1.6E-05,2.4019001699122E-06,1.42334824883686E-07
In,NIST610,434,19,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,114.818,0.000434,1.9E-05,3.77989513839293E-06,1.65479280252225E-07
Sn,NIST610,430,29,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,118.71,0.00043,2.9E-05,3.62227276556314E-06,2.442928144217E-07
Sb,NIST610,396,19,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,121.76,0.000396,1.9E-05,3.25229960578187E-06,1.56044678055191E-07
Te,NIST610,302,,,ug/g,GeoReM 5211,Jochum et al 2011,127.6,0.000302,,2.36677115987461E-06,
Cs,NIST610,366,9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,132.90545,0.000366,9E-06,2.75383740847347E-06,6.77173133231181E-08
Ba,NIST610,452,9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,137.327,0.000452,9E-06,3.29141392442855E-06,6.55370029200376E-08
La,NIST610,440,10,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,138.9055,0.00044,1E-05,3.16762115251016E-06,7.19913898297764E-08
Ce,NIST610,453,8,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,140.116,0.000453,8E-06,3.23303548488395E-06,5.70955494019241E-08
Pr,NIST610,448,7,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,140.90765,0.000448,7E-06,3.17938735050936E-06,4.96779273517087E-08
Nd,NIST610,430,8,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,144.24,0.00043,8E-06,2.98114254021076E-06,5.54631170271769E-08
Sm,NIST610,453,11,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,150.36,0.000453,1.1E-05,3.01276935355148E-06,7.31577547220005E-08
Eu,NIST610,447,12,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,151.964,0.000447,1.2E-05,2.94148614145455E-06,7.89660709115317E-08
Gd,NIST610,449,12,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,157.25,0.000449,1.2E-05,2.85532591414944E-06,7.63116057233704E-08
Tb,NIST610,437,9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,158.92534,0.000437,9E-06,2.74971883023815E-06,5.66303649248131E-08
Dy,NIST610,437,11,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,162.5,0.000437,1.1E-05,2.68923076923077E-06,6.76923076923077E-08
Ho,NIST610,449,12,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,164.93032,0.000449,1.2E-05,2.7223617828426E-06,7.27579986505817E-08
Er,NIST610,455,14,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,167.259,0.000455,1.4E-05,2.72033194028423E-06,8.37025212395148E-08
Tm,NIST610,435,10,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,168.93421,0.000435,1E-05,2.5749669057558E-06,5.91946415116275E-08
Yb,NIST610,450,9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,173.04,0.00045,9E-06,2.6005547850208E-06,5.20110957004161E-08
Lu,NIST610,439,8,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,174.967,0.000439,8E-06,2.50904456268896E-06,4.57229077483183E-08
Hf,NIST610,435,12,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,178.49,0.000435,1.2E-05,2.43711132276318E-06,6.72306571796739E-08
Ta,NIST610,446,33,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,180.9479,0.000446,3.3E-05,2.4647978782843E-06,1.82372937182471E-07
W,NIST610,444,29,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,183.84,0.000444,2.9E-05,2.41514360313316E-06,1.57745865970409E-07
Re,NIST610,49.9,3.7,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,186.207,4.99E-05,3.7E-06,2.67981332602963E-07,1.98703593312819E-08
Pt,NIST610,3.12,0.08,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,195.078,3.12E-06,8E-08,1.59936025589764E-08,4.10092373307087E-10
Au,NIST610,23.6,1.7,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,196.96655,2.36E-05,1.7E-06,1.19817298927153E-07,8.63090712610847E-09
Tl,NIST610,59.6,2.8,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,204.3833,5.96E-05,2.8E-06,2.91608952394839E-07,1.36997494413683E-08
Pb,NIST610,426,1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,207.2,0.000426,1E-06,2.05598455598456E-06,4.82625482625483E-09
Bi,NIST610,384,26,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,208.98038,0.000384,2.6E-05,1.8374930699236E-06,1.24413593276077E-07
Th,NIST610,457.2,1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,232.0381,0.0004572,1E-06,1.97036607350258E-06,4.30963708115176E-09
U,NIST610,461.5,1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,238.02891,0.0004615,1E-06,1.93884011820245E-06,4.20117035363478E-09
H2O,NIST612,0.021,,,%m/m,GeoReM 5211,Jochum et al 2011,18.01528,0.00021,,1.16567713629763E-05,
Na2O,NIST612,13.7,0.3,95%CL,%m/m,GeoReM 5211,Jochum et al 2011,61.97894,0.137,0.003,0.004420857,9.68071E-05
Al2O3,NIST612,2.03,0.04,95%CL,%m/m,GeoReM 5211,Jochum et al 2011,101.961276,0.0203,0.0004,0.00039819,7.84612E-06
SiO2,NIST612,72.1,0.6,95%CL,%m/m,GeoReM 5211,Jochum et al 2011,60.0843,0.721,0.006,0.011999806937919,9.98596971255386E-05
CaO,NIST612,11.9,0.1,95%CL,%m/m,GeoReM 5211,Jochum et al 2011,56.0774,0.119,0.001,0.002122067000253,1.78324958004472E-05
Li,NIST612,40.2,1.3,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,6.941,4.02E-05,1.3E-06,5.79167266964414E-06,1.87292897277049E-07
Be,NIST612,37.5,1.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,9.012182,3.75E-05,1.5E-06,4.16103447533572E-06,1.66441379013429E-07
B,NIST612,34.3,1.7,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,10.811,3.43E-05,1.7E-06,3.17269447784664E-06,1.57247248173157E-07
F,NIST612,80,89,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,18.9984032,8E-05,8.9E-05,4.21088020702708E-06,4.68460423031763E-06
Mg,NIST612,68,5.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,24.305,6.8E-05,5.1E-06,2.79777823493108E-06,2.09833367619831E-07
P,NIST612,46.6,6.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,30.973761,4.66E-05,6.9E-06,1.50449924373085E-06,2.22769201324954E-07
S,NIST612,377,70,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,32.065,0.000377,7E-05,1.17573678465617E-05,2.1830656479027E-06
Cl,NIST612,142,58,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,35.453,0.000142,5.8E-05,4.00530279525005E-06,1.63596874735565E-06
K,NIST612,62.3,2.4,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,39.0983,6.23E-05,2.4E-06,1.59341966274749E-06,6.13837430271904E-08
Sc,NIST612,39.9,2.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,44.95591,3.99E-05,2.5E-06,8.87536254966255E-07,5.56100410379859E-08
Ti,NIST612,44,2.3,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,47.867,4.4E-05,2.3E-06,9.19213654501013E-07,4.80498046670984E-08
V,NIST612,38.8,1.2,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,50.9415,3.88E-05,1.2E-06,7.61657980232227E-07,2.35564323783163E-08
Cr,NIST612,36.4,1.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,51.9961,3.64E-05,1.5E-06,7.00052503937795E-07,2.88483174699641E-08
Mn,NIST612,38.7,0.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,54.938049,3.87E-05,9E-07,7.04429820578448E-07,1.63820888506616E-08
Fe,NIST612,51,2,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,55.845,5.1E-05,2E-06,9.1324200913242E-07,3.581341212284E-08
Co,NIST612,35.5,1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,58.9332,3.55E-05,1E-06,6.02376928454589E-07,1.69683641818194E-08
Ni,NIST612,38.8,0.2,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,58.6934,3.88E-05,2E-07,6.61062402246249E-07,3.4075381559085E-09
Cu,NIST612,37.8,1.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,63.546,3.78E-05,1.5E-06,5.94844679444812E-07,2.36049475970163E-08
Zn,NIST612,39.1,1.7,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,65.409,3.91E-05,1.7E-06,5.97777064318366E-07,2.59903071442768E-08
Ga,NIST612,36.9,1.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,69.723,3.69E-05,1.5E-06,5.29237124048019E-07,2.15137042295942E-08
Ge,NIST612,36.1,3.8,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,72.64,3.61E-05,3.8E-06,4.96971365638767E-07,5.23127753303965E-08
As,NIST612,35.7,5.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,74.9216,3.57E-05,5.5E-06,4.76498099346517E-07,7.34100713278948E-08
Se,NIST612,16.3,1.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,78.96,1.63E-05,1.9E-06,2.06433637284701E-07,2.40628166160081E-08
Rb,NIST612,31.4,0.4,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,85.4678,3.14E-05,4E-07,3.67389824003894E-07,4.68012514654642E-09
Sr,NIST612,78.4,0.2,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,87.62,7.84E-05,2E-07,8.94772882903447E-07,2.28258388495777E-09
Y,NIST612,38.3,1.4,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,88.90585,3.83E-05,1.4E-06,4.30792799348974E-07,1.57469952764638E-08
Zr,NIST612,37.9,1.2,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,91.224,3.79E-05,1.2E-06,4.15460843637639E-07,1.31544330439358E-08
Nb,NIST612,38.9,2.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,92.90638,3.89E-05,2.1E-06,4.18701062295184E-07,2.26033992498685E-08
Mo,NIST612,37.4,1.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,95.94,3.74E-05,1.5E-06,3.89826975192829E-07,1.56347717323327E-08
