first,last,party
Cory,Booker,democratic-party
Sherrod,Brown,democratic-party
Kirsten,Gillibrand,democratic-party
Tim,Kaine,democratic-party
Amy,Klobuchar,democratic-party
Jeff,Merkley,democratic-party
Kamala,Harris,democratic-party
Bernie,Sanders,democratic-party
Mark,Warner,democratic-party
Elizabeth,Warren,democratic-party
John,Delaney,democratic-party
Tulsi,Gabbard,democratic-party
Joe,Kennedy,democratic-party
Seth,Moulton,democratic-party
Beto,O'Rourke,democratic-party
Tim,Ryan,democratic-party
Eric,Swalell,democratic-party
Steve,Bullock,democratic-party
Andrew,Cuomo,democratic-party
John,Hickenlooper,democratic-party
Jay,Inslee,democratic-party
Terry,McAuliffe,democratic-party
Martin,O'Malley,democratic-party
Deval,Patrick,democratic-party
Michael,Bloomberg,democratic-party
Pete,Buttigieg,democratic-party
Eric,Garcetti,democratic-party
Mitch,Landrieu,democratic-party
Joe,Biden,democratic-party
Julian,Castro,democratic-party
Hillary,Clinton,democratic-party
Eric,Holder,democratic-party
John,Kerry,democratic-party
Michael,Avenatti,democratic-party
Mark,Cuban,democratic-party
Richard,Ojeda,democratic-party
Howard,Schultz,democratic-party
Tom,Steyer,democratic-party
Oprah,Winfrey,democratic-party
Dwayne,Johnson,democratic-party
Donald,Trump,republican-party